,v1,serving_size,calories,total_fat,cholesterol,sodium,vitamin_b12,vitamin_c,calcium,magnesium,potassium,zink,protein,carbohydrate,fiber,sugars,glucose,caffeine,water,new_name
0,1,100 g,691,72g,0,0.00 mg,0.00 mcg,1.1 mg,70.00 mg,121.00 mg,410.00 mg,4.53 mg,9.17 g,13.86 g,9.6 g,3.97 g,0.04 g,0.00 mg,3.52 g,Nuts
1,8,100 g,300,24g,72mg,842.00 mg,1.30 mcg,0.0 mg,388.00 mg,20.00 mg,187.00 mg,2.38 mg,19.80 g,0.46 g,0.0 g,0.46 g,0,0.00 mg,51.80 g,Cheese
2,20,100 g,57,0.5g,0,1.00 mg,0,6.5 mg,37.00 mg,14.00 mg,203.00 mg,0.11 mg,0.81 g,13.93 g,3.9 g,0,3.67 g,0,84.29 g,Grapes
3,30,100 g,371,1.5g,0,6.00 mg,0.00 mcg,0.0 mg,21.00 mg,53.00 mg,223.00 mg,1.41 mg,13.04 g,74.67 g,3.2 g,2.67 g,0.12 g,0,9.90 g,Pasta
4,39,100 g,106,0.6g,0,11.00 mg,0.00 mcg,16.5 mg,25.00 mg,37.00 mg,322.00 mg,1.51 mg,8.96 g,22.14 g,0,0,0,0,67.34 g,Lentils
5,54,100 g,16,0.2g,0,42.00 mg,0.00 mcg,16.0 mg,5.00 mg,8.00 mg,212.00 mg,0.14 mg,1.16 g,3.18 g,0.9 g,0,0,0,94.78 g,Tomatoes
6,97,100 g,146,8g,65mg,89.00 mg,1.90 mcg,0.0 mg,22.00 mg,25.00 mg,375.00 mg,0.77 mg,17.28 g,0.00 g,0.0 g,0,0,0,74.13 g,Fish
7,106,100 g,32,0.4g,0,10.00 mg,0.00 mcg,44.9 mg,11.00 mg,22.00 mg,305.00 mg,0.26 mg,1.74 g,6.70 g,3.7 g,3.83 g,0,0.00 mg,90.25 g,Peppers
8,125,100 g,46,0.2g,0,0.00 mg,0.00 mcg,45.0 mg,43.00 mg,10.00 mg,169.00 mg,0.08 mg,0.70 g,11.54 g,2.4 g,9.14 g,0,0.00 mg,87.14 g,Oranges
9,173,100 g,143,8.1g,86mg,60.00 mg,0.56 mcg,0.0 mg,6.00 mg,21.00 mg,522.00 mg,1.47 mg,17.44 g,0.04 g,0.0 g,0.00 g,0,0.00 mg,73.24 g,Chicken
10,246,100 g,58,0.1g,0,10.00 mg,0.00 mcg,11.4 mg,30.00 mg,23.00 mg,413.00 mg,0.35 mg,2.57 g,12.44 g,2.5 g,0,0,0,83.29 g,Potatoes
11,284,100 g,108,7g,27mg,44.00 mg,0.71 mcg,4.2 mg,193.00 mg,18.00 mg,137.00 mg,0.54 mg,5.98 g,5.36 g,0.0 g,0,0,0,80.70 g,Milk
12,296,100 g,32,0.1g,0,8.00 mg,0,4.8 mg,20.00 mg,9.00 mg,119.00 mg,0.13 mg,0.80 g,7.55 g,0.9 g,5.02 g,2.26 g,0.00 mg,91.24 g,Onions
13,305,100 g,18,0g,0,2.00 mg,0.00 mcg,0.0 mg,6.00 mg,1.00 mg,2.00 mg,0.01 mg,0.00 g,0.04 g,0.0 g,0.04 g,0,0.00 mg,94.78 g,Vinegar
14,368,100 g,32,0.3g,0,1.00 mg,0.00 mcg,58.8 mg,16.00 mg,13.00 mg,153.00 mg,0.14 mg,0.67 g,7.68 g,2.0 g,4.89 g,1.99 g,0.00 mg,90.95 g,Strawberries
15,432,100 g,81,0.4g,0,5.00 mg,0.00 mcg,40.0 mg,25.00 mg,33.00 mg,244.00 mg,1.24 mg,5.42 g,14.45 g,5.7 g,5.67 g,0.12 g,0.00 mg,78.86 g,Peas
16,443,100 g,368,6.1g,0,5.00 mg,0.00 mcg,0,47.00 mg,197.00 mg,563.00 mg,3.10 mg,14.12 g,64.16 g,7.0 g,0,0,0,13.28 g,Quinoa
17,532,100 g,34,0.4g,0,33.00 mg,0.00 mcg,89.2 mg,47.00 mg,21.00 mg,316.00 mg,0.41 mg,2.82 g,6.64 g,2.6 g,1.70 g,0.49 g,0.00 mg,89.30 g,Broccoli
18,540,100 g,376,0.6g,0,10.00 mg,0.00 mcg,0.0 mg,24.00 mg,44.00 mg,166.00 mg,0.83 mg,12.76 g,77.43 g,5.0 g,0,0,0,8.56 g,Couscous
19,584,100 g,41,0.2g,0,69.00 mg,0.00 mcg,5.9 mg,33.00 mg,12.00 mg,320.00 mg,0.24 mg,0.93 g,9.58 g,2.8 g,4.74 g,0.59 g,0.00 mg,88.29 g,Carrots
20,605,100 g,23,0.4g,0,79.00 mg,0.00 mcg,28.1 mg,99.00 mg,79.00 mg,558.00 mg,0.53 mg,2.86 g,3.63 g,2.2 g,0.42 g,0.11 g,0.00 mg,91.40 g,Spinach
21,613,100 g,89,0.3g,0,1.00 mg,0.00 mcg,8.7 mg,5.00 mg,27.00 mg,358.00 mg,0.15 mg,1.09 g,22.84 g,2.6 g,12.23 g,4.98 g,0.00 mg,74.91 g,Bananas
22,625,100 g,149,0.5g,0,17.00 mg,0.00 mcg,31.2 mg,181.00 mg,25.00 mg,401.00 mg,1.16 mg,6.36 g,33.06 g,2.1 g,1.00 g,0,0.00 mg,58.58 g,Garlic
23,769,100 g,50,0.1g,0,1.00 mg,0.00 mcg,47.8 mg,13.00 mg,12.00 mg,109.00 mg,0.12 mg,0.54 g,13.12 g,1.4 g,9.85 g,1.73 g,0.00 mg,86.00 g,Pineapple
24,779,100 g,57,0.1g,0,1.00 mg,0,0,7.00 mg,5.00 mg,108.00 mg,0.05 mg,0.25 g,13.68 g,2.3 g,10.37 g,1.66 g,0,85.76 g,Apples
25,811,100 g,73,1.9g,10mg,34.00 mg,0.52 mcg,0.8 mg,115.00 mg,11.00 mg,141.00 mg,0.60 mg,9.95 g,3.94 g,0.0 g,3.56 g,0.00 g,0.00 mg,83.56 g,Yogurt
26,829,100 g,198,13g,62mg,68.00 mg,1.97 mcg,0.0 mg,12.00 mg,19.00 mg,289.00 mg,4.55 mg,19.42 g,0.00 g,0.0 g,0.00 g,0,0.00 mg,67.13 g,Beef
27,842,100 g,367,3.2g,0,5.00 mg,0.00 mcg,0.0 mg,9.00 mg,116.00 mg,250.00 mg,2.13 mg,7.54 g,76.25 g,3.6 g,0.66 g,0.00 g,0.00 mg,11.80 g,Rice
28,950,100 g,297,21g,94mg,73.00 mg,0.54 mcg,0.7 mg,22.00 mg,24.00 mg,362.00 mg,3.21 mg,25.69 g,0.00 g,0.0 g,0.00 g,0,0.00 mg,52.75 g,Pork
29,951,100 g,346,31g,76mg,731.00 mg,0.91 mcg,2.0 mg,18.00 mg,14.00 mg,253.00 mg,1.79 mg,14.25 g,0.65 g,0.0 g,0,0,0,51.08 g,Sausage
30,986,100 g,155,5.2g,5mg,422.00 mg,0.00 mcg,1.1 mg,61.00 mg,43.00 mg,358.00 mg,0.73 mg,5.54 g,21.63 g,5.5 g,0,0,0,65.17 g,Beans
31,1073,100 g,60,3.3g,0,1104.00 mg,0.00 mcg,0.3 mg,63.00 mg,48.00 mg,152.00 mg,0.64 mg,3.74 g,5.83 g,4.0 g,0.92 g,0.47 g,0.00 mg,83.72 g,Mustard
32,1176,100 g,15,0.2g,0,28.00 mg,0.00 mcg,9.2 mg,36.00 mg,13.00 mg,194.00 mg,0.18 mg,1.36 g,2.87 g,1.3 g,0.78 g,0.36 g,0.00 mg,94.98 g,Lettuce
33,1184,100 g,86,1.4g,0,15.00 mg,0.00 mcg,6.8 mg,2.00 mg,37.00 mg,270.00 mg,0.46 mg,3.27 g,18.70 g,2.0 g,6.26 g,3.43 g,0.00 mg,76.05 g,Corn
34,1219,100 g,15,0.1g,0,2.00 mg,0.00 mcg,2.8 mg,16.00 mg,13.00 mg,147.00 mg,0.20 mg,0.65 g,3.63 g,0.5 g,1.67 g,0.76 g,0.00 mg,95.23 g,Cucumber
35,1240,100 g,0,0g,0,2.00 mg,0.00 mcg,0.0 mg,10.00 mg,2.00 mg,0.00 mg,0.00 mg,0.00 g,0.00 g,0.0 g,0.00 g,0,0.00 mg,99.98 g,Water
36,1251,100 g,319,1.2g,0,162.00 mg,0.00 mcg,42.3 mg,0.00 mg,20.00 mg,279.00 mg,0.30 mg,2.45 g,78.58 g,2.4 g,66.27 g,0,0.00 mg,16.60 g,Mango
37,1260,100 g,11,0.2g,0,1208.00 mg,0.00 mcg,1.0 mg,0.00 mg,4.00 mg,23.00 mg,0.02 mg,0.33 g,2.26 g,1.2 g,1.06 g,0,0.00 mg,94.08 g,Pickles
38,1407,100 g,2,0.2g,0,0,0,0,0,0,0,0,0.12 g,0.00 g,0,0,0,0,99.64 g,Tea
39,1613,100 g,116,8g,0,2873.00 mg,0.00 mcg,0.2 mg,46.00 mg,52.00 mg,75.00 mg,1.56 mg,8.92 g,4.38 g,0,0,0,0,70.01 g,Tofu
40,1813,100 g,155,11g,373mg,124.00 mg,1.11 mcg,0.0 mg,50.00 mg,10.00 mg,126.00 mg,1.05 mg,12.58 g,1.12 g,0.0 g,1.12 g,0,0.00 mg,74.62 g,Egg
41,2021,100 g,207,2.5g,0,479.00 mg,0.28 mcg,0.5 mg,94.00 mg,23.00 mg,76.00 mg,1.34 mg,8.70 g,44.30 g,9.7 g,4.76 g,0,0.00 mg,42.90 g,Bread
42,2192,100 g,361,40g,33mg,800.00 mg,0.12 mcg,0.0 mg,0.00 mg,2.00 mg,31.00 mg,0.07 mg,0.37 g,0.00 g,0.0 g,0.00 g,0,0.00 mg,57.58 g,Mayonnaise
43,2262,100 g,218,2.9g,0,45.00 mg,0.00 mcg,0.0 mg,81.00 mg,72.00 mg,186.00 mg,1.31 mg,5.70 g,44.64 g,6.3 g,0.88 g,0,0.00 mg,45.89 g,Tortillas
44,2426,100 g,546,31g,8mg,24.00 mg,0.23 mcg,0,56.00 mg,146.00 mg,559.00 mg,2.01 mg,4.88 g,61.17 g,7.0 g,47.90 g,0.00 g,43.00 mg,0.97 g,Chocolate
45,2923,100 g,81,6.9g,0,735.00 mg,0.00 mcg,1.5 mg,94.00 mg,4.00 mg,9.00 mg,0.22 mg,0.97 g,5.61 g,2.5 g,0.00 g,0,0.00 mg,84.34 g,Olives
46,4569,100 g,22,0.3g,0,5.00 mg,0.00 mcg,2.1 mg,3.00 mg,9.00 mg,318.00 mg,0.52 mg,3.09 g,3.26 g,1.0 g,1.98 g,1.48 g,0.00 mg,92.45 g,Mushroom
47,4732,100 g,407,39g,0,470.00 mg,0.50 mcg,0.0 mg,4.00 mg,12.00 mg,506.00 mg,1.19 mg,12.53 g,0.83 g,0.0 g,0.83 g,0.00 g,0.00 mg,45.01 g,Bacon
48,4943,100 g,337,36g,0,580.00 mg,0,0,3.00 mg,1.00 mg,32.00 mg,0.00 mg,0.02 g,1.98 g,0,0,0,0,59.89 g,Margarine-like spread
49,5277,100 g,50,0.1g,0,7.00 mg,0.00 mcg,28.2 mg,11.00 mg,7.00 mg,96.00 mg,0.05 mg,0.16 g,12.46 g,0.2 g,10.92 g,3.72 g,0.00 mg,87.05 g,Juice
50,5494,100 g,535,30g,0,763.00 mg,0.00 mcg,0.0 mg,23.00 mg,110.00 mg,393.00 mg,2.32 mg,8.38 g,57.26 g,10.0 g,0.30 g,0.00 g,0.00 mg,0.90 g,Popcorn
